gender,sexual_orientation,location_type,income_bracket,education_level,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,is_match,num_interests
3,0,1,4,4,14,6,0.19,1,29,28,2,91,74,0.23,8,2,0,3
1,2,2,0,5,59,5,0.32,0,98,28,4,97,32,0.17,1,0,0,3
2,1,2,3,3,160,0,0.66,2,169,27,0,368,38,0.06,16,1,0,3
3,2,1,2,8,194,2,1.0,3,173,23,1,315,72,0.24,9,3,1,3
2,5,2,1,4,164,0,0.6,2,119,14,3,345,27,0.25,16,3,0,3
4,3,2,4,5,158,0,0.74,3,57,25,1,75,3,0.39,1,5,1,3
1,3,0,3,0,253,2,0.87,3,102,7,1,335,88,0.27,0,2,0,3
0,4,1,4,7,62,3,0.31,0,116,4,6,237,85,0.54,16,4,0,3
3,6,3,5,8,81,3,0.66,2,190,27,3,230,33,0.71,7,0,0,3
1,6,1,1,1,146,0,0.35,0,60,8,2,163,69,0.22,2,5,0,3
0,2,1,1,0,277,2,0.5,2,119,13,0,105,53,0.66,12,4,1,3
1,2,0,6,5,214,2,0.49,2,137,23,5,279,77,0.1,7,3,0,3
3,2,0,6,4,207,2,0.46,2,185,5,6,239,16,0.39,19,4,1,3
5,7,5,0,4,25,4,0.65,2,66,12,2,108,58,0.27,10,1,0,3
3,2,2,5,3,276,2,0.54,2,13,5,1,332,8,0.08,20,2,1,3
0,1,5,4,2,58,5,0.85,3,144,30,1,238,89,0.4,8,1,0,3
1,3,4,2,3,294,2,0.72,3,173,29,3,203,91,0.33,6,2,0,3
4,1,5,0,1,289,2,0.38,0,200,1,2,272,54,0.11,21,1,0,3
1,0,5,5,4,185,2,0.69,2,162,28,6,235,90,0.51,4,3,0,3
4,5,3,5,8,137,0,0.2,0,82,27,1,425,11,0.19,8,3,0,3
5,2,2,6,7,108,3,0.64,2,90,25,2,174,35,0.1,19,0,0,3
1,7,3,1,3,250,2,0.43,2,142,24,1,353,60,0.13,20,0,1,3
5,7,5,2,0,156,0,0.51,2,169,18,2,242,70,0.1,16,1,0,3
4,0,2,0,7,118,3,0.67,2,30,23,1,161,15,0.03,23,4,0,3
0,1,1,3,1,268,2,0.34,0,152,9,0,426,24,0.32,9,5,1,3
0,5,5,0,8,27,4,0.83,3,141,9,5,483,16,0.25,20,3,0,3
2,5,0,3,7,129,0,0.25,0,122,3,6,33,51,0.36,15,2,0,3
4,7,4,1,1,285,2,0.83,3,195,13,4,305,79,0.09,7,4,0,3
5,6,2,5,4,30,5,0.59,2,156,30,5,50,97,0.38,6,0,0,3
3,3,4,1,2,1,1,0.31,0,104,14,5,304,60,0.36,9,2,0,3
3,5,1,5,7,135,0,0.41,2,160,18,5,411,25,0.28,13,2,1,3
0,4,2,5,2,157,0,0.97,3,152,23,6,291,36,0.11,14,2,1,3
4,5,1,3,1,224,2,0.51,2,20,19,0,455,55,0.42,23,1,0,3
3,7,5,1,6,295,2,0.76,3,10,2,3,265,83,0.04,14,1,0,3
1,2,1,5,7,209,2,0.38,0,85,10,5,53,20,0.45,10,3,1,3
3,2,3,6,7,165,0,0.38,0,29,24,3,442,65,0.15,0,0,1,3
5,2,5,1,8,255,2,0.56,2,160,14,6,26,26,0.13,8,4,0,3
3,6,1,3,3,122,0,0.14,1,181,5,2,282,1,0.08,17,3,0,3
0,3,0,6,2,260,2,0.46,2,180,8,3,427,61,0.55,15,5,1,3
1,4,0,1,8,141,0,0.5,2,197,25,6,212,43,0.34,16,1,1,3
3,5,3,4,7,247,2,0.44,2,88,10,4,390,69,0.28,12,3,1,3
0,1,3,3,0,242,2,0.88,3,180,29,6,195,49,0.55,21,0,0,3
5,7,4,4,5,233,2,0.26,0,3,1,3,445,83,0.31,4,2,1,3
3,0,3,0,4,273,2,0.36,0,97,30,2,320,91,0.19,15,4,1,3
1,3,4,0,1,222,2,0.47,2,25,24,5,360,12,0.24,14,5,0,3
2,7,2,5,6,220,2,0.41,2,37,7,4,210,72,0.34,21,5,0,3
0,3,3,5,4,254,2,0.55,2,149,4,1,236,81,0.5,8,3,0,3
4,7,0,2,8,176,0,0.37,0,150,9,5,492,54,0.43,22,1,1,3
3,1,0,5,7,292,2,0.8,3,91,18,2,358,37,0.22,0,0,0,3
3,7,3,5,6,146,0,0.75,3,198,25,1,310,45,0.39,7,0,0,3
1,5,1,5,2,20,4,0.58,2,79,25,3,17,74,0.18,11,0,0,3
2,5,2,0,4,276,2,0.51,2,93,16,4,467,34,0.4,5,1,1,3
3,0,5,3,3,203,2,0.35,0,142,11,0,404,50,0.54,0,1,1,3
2,6,2,0,1,190,2,0.74,3,27,21,1,241,3,0.32,19,4,1,3
1,1,1,6,7,209,2,0.34,0,29,4,0,484,4,0.39,9,3,0,3
2,1,3,1,4,276,2,0.12,1,107,18,5,372,19,0.42,13,0,0,3
5,2,2,6,5,185,2,0.6,2,25,21,2,278,82,0.25,11,2,0,3
3,1,5,5,7,10,6,0.49,2,12,12,2,124,16,0.42,18,5,0,3
1,1,3,1,0,1,1,0.77,3,70,27,1,66,69,0.28,8,5,0,3
4,7,4,6,5,8,6,0.48,2,44,8,0,64,94,0.25,13,4,0,3
4,3,0,3,5,231,2,0.51,2,128,7,4,22,93,0.39,21,4,0,3
5,7,5,3,4,251,2,0.23,0,182,29,3,37,10,0.54,10,4,0,3
2,4,2,4,8,271,2,0.76,3,75,14,4,309,55,0.16,3,0,0,3
4,1,0,3,0,204,2,0.53,2,106,23,0,160,54,0.47,10,0,0,3
3,4,1,3,3,190,2,0.69,2,33,17,0,300,71,0.39,17,1,0,3
5,0,1,5,4,159,0,0.15,1,90,3,4,259,27,0.51,4,0,1,3
0,3,2,5,8,142,0,0.64,2,146,7,6,219,71,0.12,19,4,1,3
2,5,5,1,1,173,0,0.5,2,89,0,1,445,18,0.34,18,0,0,3
2,4,1,0,6,110,3,0.49,2,96,13,3,174,20,0.62,11,1,1,3
1,3,5,1,2,41,5,0.28,0,69,14,5,217,62,0.34,19,3,0,3
3,1,3,6,5,249,2,0.69,2,134,21,2,23,28,0.24,12,4,1,3
2,1,2,1,2,167,0,0.34,0,30,0,3,382,55,0.19,5,5,0,3
1,1,3,4,5,21,4,0.29,0,111,0,3,471,9,0.58,10,4,0,3
1,2,1,0,4,10,6,0.6,2,83,5,6,485,79,0.46,14,0,1,3
2,2,5,1,4,40,5,0.46,2,101,27,2,381,43,0.13,7,1,0,3
2,3,3,4,0,75,3,0.97,3,60,3,1,131,25,0.12,5,4,0,3
4,3,4,5,7,296,2,0.45,2,114,21,4,329,81,0.52,19,1,1,3
0,6,5,3,7,28,4,0.31,0,90,16,0,158,59,0.47,14,2,1,3
3,5,5,0,3,196,2,0.54,2,118,18,4,488,94,0.24,1,3,0,3
4,1,2,4,7,230,2,0.35,0,26,25,6,175,91,0.12,2,4,0,3
2,1,1,3,7,186,2,0.68,2,95,29,2,198,52,0.14,10,0,0,3
2,0,5,2,3,145,0,0.41,2,64,23,6,336,77,0.61,4,1,0,3
1,4,2,2,4,43,5,0.22,0,79,17,3,329,42,0.45,4,0,1,3
2,2,3,2,6,109,3,0.45,2,87,30,6,248,24,0.21,7,5,0,3
2,5,5,4,8,172,0,0.51,2,196,19,1,305,48,0.13,4,5,0,3
4,4,1,3,6,121,0,0.48,2,113,19,2,385,95,0.14,14,5,1,3
0,5,0,5,0,225,2,0.52,2,118,24,2,398,48,0.29,16,4,0,3
0,1,3,1,1,190,2,0.35,0,141,29,0,364,66,0.33,3,1,0,3
0,5,0,4,2,230,2,0.55,2,89,29,0,212,6,0.22,12,4,1,3
0,2,5,2,0,171,0,0.55,2,37,4,0,146,60,0.17,22,5,1,3
5,7,5,6,1,270,2,0.7,3,108,3,6,147,30,0.12,9,2,1,3
0,2,1,5,7,274,2,0.65,2,4,4,4,123,91,0.02,4,1,0,3
2,0,4,4,4,268,2,0.57,2,92,2,4,278,64,0.15,16,4,1,3
5,6,5,0,4,8,6,0.82,3,91,25,0,176,30,0.36,23,0,0,3
1,0,4,6,5,89,3,0.58,2,199,21,3,356,61,0.47,20,5,0,3
2,6,5,2,0,158,0,0.57,2,131,12,6,278,60,0.49,8,2,0,3
3,0,5,5,5,223,2,0.13,1,102,23,3,458,49,0.38,10,5,1,3
4,6,2,5,8,217,2,0.5,2,20,13,4,421,23,0.69,17,1,1,3
2,3,2,0,1,218,2,0.2,0,42,22,3,179,57,0.38,1,0,1,3
1,2,2,0,6,207,2,0.75,3,93,16,6,383,86,0.27,5,2,0,3
1,6,5,1,3,185,2,0.67,2,98,30,4,16,77,0.08,4,0,1,3
3,0,0,5,3,187,2,0.58,2,101,10,5,142,31,0.48,3,2,0,3
5,2,3,6,1,109,3,0.45,2,156,9,5,469,62,0.15,6,2,0,3
2,6,4,0,7,177,0,0.39,0,181,2,4,277,37,0.27,9,5,0,3
3,1,5,1,2,184,2,0.35,0,141,18,2,239,70,0.09,4,4,0,3
2,5,0,0,7,37,5,0.67,2,32,10,5,37,57,0.37,14,0,1,3
3,4,3,0,2,28,4,0.99,3,31,16,1,155,21,0.16,5,1,0,3
3,5,5,2,0,64,3,0.62,2,160,9,4,273,11,0.13,16,0,0,3
1,4,4,0,5,41,5,0.82,3,11,10,6,295,33,0.2,20,5,0,3
5,7,0,0,8,247,2,0.66,2,62,25,6,350,51,0.19,9,3,0,3
4,7,4,3,4,174,0,0.47,2,155,4,2,441,91,0.15,10,0,1,3
5,4,2,4,8,238,2,0.04,1,31,8,3,126,18,0.17,3,2,0,3
5,2,4,5,2,160,0,0.45,2,48,24,1,255,65,0.08,14,3,0,3
5,7,5,3,8,298,2,0.24,0,90,1,0,144,63,0.18,19,0,1,3
3,7,5,3,2,206,2,0.45,2,93,1,3,26,72,0.12,17,5,1,3
1,5,5,3,8,143,0,0.53,2,159,21,4,60,16,0.27,3,3,1,3
3,0,4,1,8,23,4,0.39,0,9,2,5,170,60,0.08,16,3,0,3
1,4,2,4,5,153,0,0.28,0,151,10,4,424,65,0.13,17,3,0,3
3,6,5,2,5,298,2,0.75,3,78,25,5,446,88,0.03,20,2,0,3
5,5,1,5,0,245,2,0.45,2,43,16,5,369,79,0.12,12,5,0,3
2,3,4,6,7,211,2,0.69,2,176,6,3,256,99,0.54,19,3,1,3
4,4,3,1,8,269,2,0.35,0,96,10,1,235,68,0.16,10,4,1,3
4,5,3,3,0,152,0,0.45,2,57,30,2,394,36,0.19,22,5,1,3
3,6,2,4,1,278,2,0.55,2,97,28,3,419,44,0.09,4,1,1,3
3,3,2,3,1,103,3,0.57,2,137,8,4,356,34,0.17,4,2,0,3
4,1,4,6,8,51,5,0.34,0,105,10,5,241,12,0.06,21,5,1,3
1,4,0,0,7,147,0,0.08,1,82,9,5,30,98,0.41,2,0,0,3
0,7,4,3,2,95,3,0.49,2,191,30,6,474,37,0.21,1,2,0,3
1,3,2,2,7,252,2,0.23,0,34,27,4,239,34,0.54,6,2,1,3
0,6,1,2,2,151,0,0.52,2,145,21,6,98,22,0.4,19,0,0,3
5,0,5,3,3,165,0,0.71,3,63,0,2,196,30,0.21,14,1,1,3
3,7,2,0,5,60,3,0.81,3,119,9,1,207,87,0.09,16,0,0,3
4,3,1,2,5,244,2,0.6,2,39,14,5,310,47,0.29,13,0,1,3
5,1,4,0,3,185,2,0.62,2,19,18,0,31,70,0.24,16,5,0,3
1,4,4,2,8,105,3,0.31,0,183,18,3,46,65,0.62,14,2,1,3
0,2,0,4,6,157,0,0.54,2,185,0,3,130,0,0.17,23,5,0,3
2,7,0,2,3,241,2,0.73,3,8,4,3,92,98,0.15,4,0,0,3
3,2,0,5,4,276,2,0.43,2,34,20,6,178,15,0.09,5,4,0,3
1,4,1,1,6,237,2,0.63,2,172,23,4,217,68,0.64,12,5,0,3
5,0,4,2,0,16,4,0.73,3,169,13,4,392,2,0.2,7,5,0,3
2,7,0,4,6,205,2,0.58,2,112,7,4,111,96,0.24,1,5,1,3
3,1,1,4,5,164,0,0.71,3,60,9,1,338,66,0.22,7,3,0,3
3,7,3,4,2,284,2,0.54,2,126,1,2,482,82,0.37,21,3,1,3
3,2,0,1,1,275,2,0.59,2,121,7,6,115,38,0.23,22,5,1,3
2,2,0,4,8,130,0,0.64,2,52,10,5,40,57,0.14,11,2,1,3
4,1,5,2,4,37,5,0.22,0,48,25,6,300,92,0.32,21,4,0,3
5,1,2,2,6,60,3,0.4,2,191,24,3,468,31,0.21,22,4,0,3
5,1,3,2,1,183,2,0.37,0,78,8,2,262,63,0.39,14,2,1,3
3,1,2,2,4,74,3,0.68,2,4,2,4,478,74,0.37,18,0,0,3
3,4,4,2,0,255,2,0.74,3,140,20,5,172,32,0.07,15,0,1,3
5,4,1,5,5,279,2,0.43,2,125,5,4,328,7,0.14,16,2,0,3
4,7,5,3,2,77,3,0.44,2,2,0,4,233,47,0.23,1,4,0,3
5,6,5,6,8,8,6,0.35,0,135,23,2,274,36,0.08,0,4,0,3
0,3,5,4,2,269,2,0.47,2,64,26,2,136,50,0.15,2,1,0,3
5,1,1,1,1,16,4,0.63,2,23,12,3,193,70,0.29,15,2,1,3
4,4,5,3,4,48,5,0.4,2,135,29,0,117,27,0.23,22,4,1,3
3,7,5,0,1,16,4,0.74,3,45,29,6,161,2,0.32,6,4,0,3
4,2,5,2,2,276,2,0.57,2,84,12,6,378,17,0.19,22,0,0,3
1,0,5,6,4,203,2,0.2,0,198,10,0,324,34,0.14,14,3,0,3
3,2,0,1,4,126,0,0.61,2,182,2,0,137,19,0.45,12,0,0,3
4,2,2,2,3,227,2,0.34,0,92,24,2,52,16,0.52,2,5,0,3
5,2,5,6,3,166,0,0.64,2,98,0,2,211,49,0.12,2,0,1,3
0,4,1,3,2,137,0,0.74,3,126,4,0,85,55,0.41,8,3,0,3
5,3,2,2,0,100,3,0.17,1,117,3,1,155,0,0.28,12,1,0,3
5,0,0,2,4,153,0,0.72,3,82,19,5,102,61,0.26,10,5,0,3
3,5,1,0,7,192,2,0.7,3,71,26,6,201,46,0.51,3,4,0,3
1,4,1,5,8,107,3,0.53,2,112,25,2,425,88,0.14,2,3,1,3
0,5,4,2,2,37,5,0.45,2,114,19,3,298,51,0.25,17,4,0,3
1,7,2,0,8,55,5,0.51,2,196,7,5,340,45,0.55,5,0,0,3
2,2,2,5,4,113,3,0.55,2,130,23,4,285,74,0.21,22,4,0,3
5,0,0,3,8,247,2,0.56,2,26,9,3,471,10,0.25,3,0,0,3
3,5,2,3,0,243,2,0.43,2,24,14,5,356,57,0.2,10,2,0,3
2,3,5,5,5,84,3,0.2,0,189,7,4,89,70,0.38,5,1,1,3
5,6,4,5,4,221,2,0.47,2,101,0,5,314,25,0.05,14,4,0,3
5,7,1,1,0,32,5,0.88,3,147,3,6,446,68,0.11,5,1,1,3
0,6,5,2,7,198,2,0.72,3,156,12,4,58,44,0.39,11,3,0,3
0,5,3,4,3,60,3,0.48,2,61,9,0,93,47,0.05,22,5,1,3
5,2,3,1,4,275,2,0.68,2,177,29,5,476,22,0.37,17,5,1,3
3,4,4,2,7,4,1,0.79,3,124,4,1,417,49,0.34,17,4,1,3
5,6,0,0,7,289,2,0.64,2,7,3,2,16,35,0.31,7,4,0,3
0,6,3,0,7,293,2,0.77,3,29,8,6,278,46,0.4,17,2,1,3
1,1,0,6,0,134,0,0.57,2,89,27,6,44,56,0.16,3,5,0,3
4,0,1,4,4,105,3,0.21,0,52,25,0,291,44,0.05,17,1,0,3
1,4,2,0,1,263,2,0.44,2,173,26,0,69,96,0.3,13,2,0,3
4,4,1,5,2,164,0,0.02,1,63,24,6,346,50,0.56,15,5,0,3
4,5,1,3,4,47,5,0.5,2,103,16,5,142,88,0.18,11,3,1,3
3,7,1,6,7,183,2,0.27,0,16,12,1,495,54,0.2,6,3,0,3
3,5,2,4,2,24,4,0.32,0,11,1,5,401,58,0.38,0,2,0,3
5,6,5,3,0,154,0,0.44,2,40,27,2,47,83,0.35,11,1,0,3
3,4,5,3,1,119,3,0.56,2,109,20,0,360,12,0.15,0,5,1,3
2,4,3,1,8,4,1,0.37,0,178,10,6,61,54,0.26,22,5,1,3
2,1,0,6,3,153,0,0.52,2,35,12,6,416,96,0.23,4,0,0,3
2,7,3,0,2,109,3,0.36,0,160,23,1,470,52,0.19,19,0,1,3
0,3,5,1,3,179,0,0.29,0,109,10,6,71,31,0.19,8,0,0,3
0,5,1,6,1,260,2,0.93,3,48,23,3,151,82,0.52,1,5,1,3
5,3,4,3,3,162,0,0.61,2,33,12,6,429,72,0.42,13,1,1,3
4,4,0,5,3,7,6,0.4,2,67,6,0,472,7,0.69,12,4,0,3
4,2,0,0,4,275,2,0.9,3,157,4,2,42,39,0.43,2,4,0,3
0,0,0,4,3,122,0,0.63,2,14,3,0,473,55,0.06,3,3,0,3
1,7,2,0,2,70,3,0.25,0,179,0,1,254,44,0.15,16,4,0,3
0,0,4,0,1,171,0,0.39,0,109,8,4,32,33,0.15,22,4,0,3
5,6,3,2,6,188,2,0.44,2,40,8,6,52,73,0.39,21,0,0,3
0,7,5,5,6,186,2,0.73,3,98,29,1,91,4,0.05,17,0,0,3
0,0,4,3,5,190,2,0.48,2,30,16,5,461,6,0.06,5,5,1,3
2,2,5,3,1,283,2,0.49,2,116,0,2,102,37,0.62,18,1,0,3
0,6,2,4,7,125,0,0.55,2,38,0,3,12,29,0.09,17,1,1,3
3,7,1,3,1,121,0,0.43,2,107,15,0,497,18,0.16,22,1,0,3
2,1,3,3,5,297,2,0.74,3,24,16,1,326,50,0.28,2,4,0,3
2,2,1,1,0,201,2,0.45,2,179,26,5,167,40,0.23,14,1,0,3
2,1,4,5,3,230,2,0.36,0,119,10,3,61,68,0.38,11,5,1,3
3,6,2,5,3,155,0,0.68,2,180,22,4,20,27,0.6,10,5,0,3
4,1,2,3,8,133,0,1.0,3,44,0,3,437,57,0.56,17,0,1,3
0,3,0,6,2,113,3,0.38,0,33,6,6,205,47,0.48,21,0,0,3
1,5,5,6,3,65,3,0.32,0,23,10,0,21,59,0.25,1,5,0,3
5,2,0,6,4,181,2,0.54,2,54,29,1,140,35,0.4,14,5,1,3
1,1,1,2,7,31,5,0.59,2,22,8,3,70,53,0.5,6,0,1,3
0,7,0,5,5,176,0,0.56,2,144,16,2,198,34,0.45,5,2,1,3
1,1,5,5,1,183,2,0.61,2,196,18,1,498,20,0.22,3,5,0,3
3,7,4,4,4,162,0,0.25,0,188,22,2,467,75,0.31,0,0,1,3
1,4,3,1,7,251,2,0.52,2,9,1,0,119,77,0.2,7,2,1,3
5,7,2,4,0,90,3,0.21,0,82,1,0,75,75,0.08,22,5,0,3
1,0,5,2,4,154,0,0.24,0,82,4,1,374,55,0.1,20,3,1,3
0,0,4,0,2,150,0,0.7,3,32,5,5,0,89,0.2,18,3,0,3
2,4,3,2,0,254,2,0.5,2,36,10,5,39,30,0.18,11,1,0,3
4,3,1,0,5,107,3,0.78,3,63,22,0,179,32,0.38,3,0,1,3
2,2,0,0,4,193,2,0.58,2,89,17,3,51,61,0.18,18,0,0,3
0,6,5,5,6,133,0,0.3,0,26,2,2,87,48,0.27,5,0,0,3
1,3,2,4,7,84,3,0.58,2,155,28,3,80,6,0.09,3,1,0,3
0,2,1,4,8,152,0,0.61,2,60,3,0,201,73,0.07,17,3,0,3
2,0,5,3,3,245,2,0.54,2,51,3,0,105,21,0.31,20,1,0,3
5,3,2,5,4,135,0,0.77,3,23,20,4,198,23,0.32,11,3,1,3
0,6,5,2,7,137,0,0.44,2,144,1,1,385,89,0.5,21,2,0,3
4,0,3,3,0,267,2,0.85,3,107,30,4,351,60,0.17,18,5,1,3
3,3,0,5,6,292,2,0.66,2,173,19,1,61,96,0.24,14,5,0,3
0,1,4,6,4,103,3,0.56,2,160,4,6,304,33,0.72,10,0,0,3
2,2,3,3,8,234,2,0.43,2,3,3,0,212,19,0.33,4,4,0,3
1,3,5,4,3,210,2,0.47,2,67,12,5,248,73,0.06,19,3,1,3
0,5,0,1,4,121,0,0.56,2,12,11,3,471,34,0.35,11,2,1,3
3,5,2,5,7,116,3,0.83,3,34,9,5,226,99,0.3,10,1,0,3
1,3,4,3,0,264,2,0.56,2,95,26,0,263,20,0.22,2,1,1,3
5,4,3,4,6,127,0,0.46,2,8,7,0,470,46,0.16,22,5,0,3
3,6,3,3,3,190,2,0.35,0,125,19,3,90,60,0.25,18,4,1,3
3,4,2,0,3,25,4,0.19,1,41,27,4,399,27,0.18,7,0,0,3
4,1,2,0,4,4,1,0.64,2,121,29,1,331,22,0.63,19,2,0,3
3,5,1,0,1,235,2,0.49,2,64,6,3,154,86,0.1,16,4,0,3
1,3,5,4,5,144,0,0.82,3,76,21,0,246,8,0.15,10,1,1,3
3,5,1,0,1,123,0,0.62,2,14,12,6,410,76,0.18,12,0,1,3
4,4,1,6,7,207,2,0.66,2,99,23,0,298,90,0.55,18,5,1,3
4,1,1,4,7,153,0,0.53,2,43,26,5,448,71,0.35,5,1,0,3
5,4,1,2,8,171,0,0.32,0,167,2,1,181,28,0.04,23,1,0,3
3,0,2,4,1,27,4,0.58,2,162,18,4,483,79,0.3,2,3,0,3
1,3,1,3,8,77,3,0.41,2,35,6,2,209,72,0.41,14,5,1,3
4,4,5,3,5,29,4,0.56,2,1,1,2,107,97,0.21,5,4,0,3
5,3,4,4,4,219,2,0.29,0,122,12,0,19,68,0.35,6,0,1,3
2,0,3,1,6,127,0,0.59,2,57,22,2,159,16,0.64,3,3,1,3
1,5,4,6,6,266,2,0.0,1,152,16,2,222,87,0.34,4,1,1,3
3,1,4,5,4,67,3,0.46,2,54,23,0,301,64,0.34,5,2,1,3
4,7,0,0,1,24,4,0.0,1,169,3,5,428,2,0.45,1,0,0,3
5,6,0,6,8,78,3,0.62,2,52,22,5,322,1,0.11,9,3,0,3
4,5,3,4,2,60,3,0.36,0,72,3,6,54,63,0.24,6,4,0,3
3,1,2,0,4,280,2,0.43,2,127,29,1,352,61,0.21,10,5,1,3
2,3,5,5,7,38,5,0.56,2,185,23,0,463,32,0.16,20,5,1,3
3,5,0,6,3,184,2,0.5,2,173,10,3,378,14,0.05,3,2,1,3
0,4,2,2,7,47,5,0.29,0,95,26,2,93,14,0.38,12,3,1,3
3,2,1,5,7,57,5,0.46,2,33,22,5,30,20,0.48,3,3,0,3
5,6,4,4,4,66,3,0.49,2,123,29,3,57,52,0.29,14,2,0,3
3,0,5,0,8,289,2,0.58,2,57,30,5,447,43,0.13,16,4,0,3
2,2,1,0,0,197,2,0.26,0,38,26,6,285,78,0.27,1,2,0,3
1,6,0,5,2,164,0,0.84,3,61,10,2,25,64,0.38,7,4,0,3
5,1,5,3,7,255,2,0.73,3,114,10,0,254,95,0.09,20,2,0,3
5,2,5,4,8,155,0,0.4,2,130,17,1,335,85,0.18,14,1,1,3
2,1,0,2,8,186,2,0.56,2,183,14,0,49,97,0.38,21,5,1,3
3,0,1,5,1,54,5,0.35,0,11,2,3,71,91,0.16,23,0,0,3
2,5,3,1,0,234,2,0.55,2,200,6,5,173,13,0.33,13,2,0,3
2,6,0,0,8,271,2,0.31,0,188,1,4,478,55,0.26,18,3,1,3
0,4,1,5,2,164,0,0.56,2,129,28,3,214,77,0.11,22,5,0,3
5,0,2,3,2,262,2,0.35,0,76,26,5,280,40,0.12,22,0,1,3
4,1,4,1,1,91,3,0.63,2,128,17,5,326,41,0.53,22,2,1,3
1,6,3,4,4,146,0,0.69,2,108,25,0,267,13,0.31,0,3,0,3
2,7,4,2,2,74,3,0.33,0,15,9,1,385,69,0.44,1,1,1,3
2,1,1,0,8,147,0,0.11,1,177,21,0,474,48,0.34,12,3,1,3
1,7,5,0,1,115,3,0.54,2,162,22,5,331,47,0.18,18,4,0,3
0,1,2,3,2,88,3,0.38,0,188,16,0,193,5,0.49,13,1,1,3
3,4,4,4,1,79,3,0.68,2,10,2,2,305,6,0.36,20,4,0,3
5,0,5,5,5,266,2,0.24,0,17,16,1,212,69,0.26,17,3,0,3
3,1,4,0,5,111,3,0.51,2,192,19,4,243,71,0.07,20,2,0,3
4,0,0,1,0,195,2,0.84,3,29,12,2,276,92,0.04,9,2,1,3
3,6,0,6,1,263,2,0.57,2,21,3,1,497,98,0.42,17,4,1,3
4,3,4,0,0,105,3,0.26,0,137,26,5,449,94,0.5,13,0,0,3
4,4,5,3,5,27,4,0.76,3,45,25,2,285,9,0.11,18,5,0,3
5,2,0,0,4,199,2,0.58,2,172,3,4,3,82,0.29,23,4,0,3
4,7,1,5,3,148,0,0.21,0,175,9,4,44,36,0.09,14,3,0,3
4,7,0,1,8,200,2,0.43,2,139,9,5,73,38,0.36,21,0,1,3
2,4,5,6,6,275,2,0.16,1,140,30,0,156,26,0.68,23,0,1,3
0,2,1,5,8,113,3,0.75,3,157,26,2,99,14,0.38,5,0,0,3
2,6,1,4,3,128,0,0.53,2,25,6,5,297,62,0.08,10,1,0,3
4,1,5,2,3,230,2,0.74,3,84,19,5,156,88,0.13,18,5,0,3
